t_s,alt_m,V_ms,climb_ms,cos_phi_theta,nose_dot_up,wx,wy,wz,freelook
2.40,1062.7,266.54,-11.24,0.9073,-0.0592,0.2663,0.7274,1.6636,0
2.50,1061.6,266.27,-9.97,0.8127,-0.0823,0.0943,0.6882,1.9868,0
2.60,1060.7,265.93,-9.52,0.7063,-0.0956,0.3200,0.5323,1.6125,0
2.70,1059.7,265.61,-9.37,0.6602,-0.0948,0.3433,0.1535,-0.8930,0
2.80,1058.8,265.36,-9.05,0.7217,-0.0819,0.2323,0.1155,-0.2422,0
2.90,1057.9,265.19,-8.68,0.7501,-0.0740,0.1347,0.0846,-0.5578,0
3.00,1057.1,265.10,-8.62,0.7950,-0.0694,0.0752,0.0685,-0.8004,0
3.10,1056.2,265.07,-9.01,0.8441,-0.0670,0.0374,0.0572,-0.8857,0
3.20,1055.2,265.08,-9.82,0.8876,-0.0659,0.0134,0.0488,-0.8551,0
3.30,1054.2,265.14,-10.91,0.9216,-0.0659,-0.0014,0.0495,-0.7642,0
3.40,1053.0,265.23,-12.16,0.9463,-0.0666,-0.0100,0.0503,-0.6610,0
3.50,1051.7,265.34,-13.45,0.9638,-0.0676,-0.0145,0.0465,-0.5707,0
3.60,1050.3,265.47,-14.68,0.9761,-0.0684,-0.0167,0.0371,-0.4964,0
3.70,1048.8,265.62,-15.80,0.9845,-0.0690,-0.0175,0.0251,-0.4295,0
3.80,1047.2,265.78,-16.76,0.9901,-0.0694,-0.0176,0.0148,-0.3621,0
3.90,1045.4,265.95,-17.57,0.9935,-0.0696,-0.0175,0.0081,-0.2934,0
4.00,1043.6,266.13,-18.22,0.9955,-0.0697,-0.0235,-0.0887,-0.2459,0
4.10,1041.8,266.32,-18.76,0.9971,-0.0704,-0.0558,-0.6453,-0.6501,0
4.20,1039.9,266.50,-19.26,0.9911,-0.0727,0.0640,-0.7889,-1.9073,0
4.30,1038.0,266.57,-19.11,0.9512,-0.0786,0.1844,-0.7992,-1.9964,0
4.40,1036.1,266.49,-18.00,0.8756,-0.0870,0.3017,-0.7996,-1.9999,0
4.50,1034.4,266.25,-16.56,0.7669,-0.1079,0.3236,-0.7774,-2.0000,0
4.60,1032.8,265.86,-15.66,0.6326,-0.1235,0.7383,-0.6751,-2.0000,0
4.70,1031.3,265.38,-14.48,0.5129,-0.1050,1.0484,-0.3128,-1.3158,0
4.80,1029.9,264.89,-12.41,0.4180,-0.0775,1.0714,-0.2390,-1.1066,0
4.90,1028.8,264.42,-10.14,0.3430,-0.0570,0.6418,-0.0655,-0.0427,0
5.00,1027.9,264.08,-7.52,0.4724,-0.0426,0.3612,-0.0840,1.1886,0
5.10,1027.3,263.84,-4.68,0.5306,-0.0352,0.1984,-0.0792,0.8960,0
5.20,1027.0,263.70,-2.51,0.6261,-0.0312,0.1091,-0.0689,1.3392,0
5.30,1026.8,263.63,-1.16,0.7298,-0.0291,0.0542,-0.0593,1.4381,0
5.40,1026.7,263.61,-0.73,0.8175,-0.0282,0.0201,-0.0498,1.3309,0
5.50,1026.6,263.63,-1.09,0.8818,-0.0284,-0.0001,-0.0494,1.1335,0
5.60,1026.5,263.68,-1.99,0.9251,-0.0295,-0.0113,-0.0505,0.9265,0
5.70,1026.2,263.75,-3.17,0.9532,-0.0309,-0.0168,-0.0477,0.7512,0
5.80,1025.8,263.84,-4.44,0.9713,-0.0322,-0.0189,-0.0394,0.6150,0
5.90,1025.3,263.96,-5.66,0.9828,-0.0332,-0.0194,-0.0276,0.5074,0
6.00,1024.7,264.08,-6.75,0.9901,-0.0337,-0.0190,-0.0167,0.4148,0
6.10,1024.0,264.22,-7.67,0.9944,-0.0341,-0.0185,-0.0092,0.3302,0
6.20,1023.1,264.37,-8.42,0.9969,-0.0343,-0.0180,-0.0049,0.2537,0
6.30,1022.3,264.52,-9.02,0.9982,-0.0345,-0.0179,-0.0007,0.1868,0
6.40,1021.3,264.68,-9.50,0.9988,-0.0356,-0.0431,0.0678,0.1378,0
6.50,1020.4,264.85,-10.26,0.9990,-0.0450,-0.1225,0.5347,0.5407,0
6.60,1019.3,265.00,-11.56,0.9957,-0.0545,-0.0640,0.6901,1.0236,0
6.70,1018.0,265.08,-12.74,0.9780,-0.0636,0.0496,0.7906,1.7692,0
6.80,1016.7,265.00,-13.18,0.9224,-0.0777,0.1396,0.7985,1.9906,0
6.90,1015.4,264.77,-13.05,0.8308,-0.1001,0.1472,0.7709,1.9996,0
7.00,1014.1,264.40,-13.14,0.7090,-0.1207,0.3866,0.5759,2.0000,0
7.10,1012.8,264.00,-13.10,0.5727,-0.1150,0.5168,0.1604,1.5237,0
7.20,1011.5,263.70,-12.47,0.5305,-0.0952,0.5628,0.1521,-0.0689,0
7.30,1010.3,263.45,-11.11,0.5972,-0.0813,0.4879,0.3104,-0.0953,0
7.40,1009.3,263.21,-9.53,0.6836,-0.0737,0.3297,0.1968,-1.8416,0
7.50,1008.4,262.98,-8.12,0.7877,-0.0666,0.2684,0.2668,-0.2892,0
7.60,1007.7,262.75,-6.94,0.7989,-0.0624,0.2706,0.3404,-0.1948,0
7.70,1007.0,262.54,-6.02,0.8139,-0.0596,0.2503,0.3536,-0.2529,0
7.80,1006.5,262.31,-5.29,0.8237,-0.0589,0.3488,0.5485,0.3427,0
7.90,1006.0,262.03,-4.31,0.8051,-0.0565,0.2358,0.2571,-0.2954,0
8.00,1005.6,261.77,-3.47,0.8257,-0.0508,0.1798,0.1841,-0.3120,0
8.10,1005.3,261.57,-2.84,0.8412,-0.0450,0.2171,0.2737,-0.2173,0
8.20,1005.0,261.38,-2.22,0.8510,-0.0410,0.2047,0.3122,-0.1346,0
8.30,1004.8,261.20,-1.66,0.8571,-0.0364,0.2460,0.2667,-0.0863,0
8.40,1004.7,261.03,-0.86,0.8613,-0.0276,0.1855,0.2037,-0.0679,0
8.50,1004.7,260.90,0.09,0.8677,-0.0194,0.1928,0.2004,-0.1564,0
8.60,1004.7,260.80,1.15,0.8761,-0.0115,0.1800,0.2285,-0.1642,0
8.70,1004.9,260.72,2.26,0.8839,-0.0035,0.1889,0.1960,-0.1637,0
8.80,1005.2,260.65,3.52,0.8908,0.0047,0.1719,0.1914,-0.1490,0
8.90,1005.6,260.59,4.82,0.8979,0.0115,0.1398,0.1417,-0.1893,0
9.00,1006.2,260.55,6.02,0.9070,0.0165,0.0768,0.1110,-0.2466,0
9.10,1006.8,260.53,6.91,0.9197,0.0197,0.0384,0.0610,-0.3762,0
9.20,1007.5,260.54,7.42,0.9355,0.0219,0.0181,0.0477,-0.4619,0
9.30,1008.3,260.57,7.60,0.9511,0.0234,0.0318,0.0581,-0.4769,0
9.40,1009.1,260.62,7.59,0.9642,0.0246,0.0018,0.0480,-0.4485,0
9.50,1009.8,260.69,7.43,0.9747,0.0249,-0.0056,0.0431,-0.4263,0
9.60,1010.5,260.77,7.16,0.9830,0.0249,-0.0099,0.0333,-0.4010,0
9.70,1011.2,260.85,6.83,0.9893,0.0250,-0.0124,0.0221,-0.3655,0
9.80,1011.9,260.95,6.50,0.9936,0.0251,-0.0139,0.0130,-0.3176,0
9.90,1012.5,261.05,6.20,0.9963,0.0258,0.0157,-0.0345,-0.2655,0
10.00,1013.1,261.17,6.16,0.9993,0.0299,-0.0666,-0.7062,-1.3457,0
10.10,1013.7,261.27,6.17,0.9867,0.0253,0.0275,-0.7925,-1.9704,0
10.20,1014.4,261.26,6.43,0.9351,0.0105,0.0932,-0.7994,-1.9987,0
10.30,1015.0,261.10,6.85,0.8460,-0.0091,0.2625,-0.7980,-1.9999,0
10.40,1015.8,260.79,7.33,0.7237,-0.0356,0.2770,-0.7738,-2.0000,0
10.50,1016.5,260.34,7.05,0.5750,-0.0599,0.7640,-0.7594,-2.0000,0
10.60,1017.1,259.76,6.46,0.4405,-0.0635,1.0557,-0.4390,-1.2289,0
10.70,1017.8,259.14,6.14,0.3588,-0.0442,1.0687,-0.1488,-0.7833,0
10.80,1018.4,258.57,6.40,0.2932,-0.0240,0.8122,-0.1225,-0.7141,0
10.90,1019.0,258.13,6.56,0.2270,-0.0150,0.7811,-0.1268,-0.6684,0
11.00,1019.7,257.77,6.44,0.1730,-0.0056,0.8377,-0.0749,-0.5015,0
11.10,1020.3,257.48,6.34,0.1753,0.0030,0.7377,-0.0700,0.7075,0
11.20,1021.0,257.22,6.91,0.2059,0.0095,0.7613,-0.1473,0.2591,0
11.30,1021.7,256.97,8.09,0.3499,0.0154,0.6002,-0.1694,1.9122,0
11.40,1022.6,256.74,10.36,0.5257,0.0217,0.4673,-0.2111,1.9955,0
11.50,1023.8,256.50,12.90,0.6121,0.0277,0.2219,-0.1441,0.4440,0
11.60,1025.2,256.33,14.75,0.6668,0.0306,0.1178,-0.0929,0.9380,0
11.70,1026.8,256.21,15.76,0.7434,0.0325,0.0611,-0.0695,1.1773,0
11.80,1028.3,256.14,15.96,0.8175,0.0334,0.0255,-0.0549,1.1838,0
11.90,1029.9,256.11,15.48,0.8767,0.0334,0.0038,-0.0482,1.0615,0
12.00,1031.4,256.11,14.53,0.9191,0.0326,-0.0087,-0.0493,0.8948,0
12.10,1032.8,256.14,13.32,0.9477,0.0312,-0.0153,-0.0490,0.7385,0
12.20,1034.1,256.19,12.04,0.9668,0.0299,-0.0181,-0.0439,0.6130,0
12.30,1035.2,256.27,10.79,0.9794,0.0287,-0.0190,-0.0338,0.5151,0
12.40,1036.2,256.35,9.65,0.9877,0.0279,-0.0173,-0.0379,0.4201,0
12.50,1037.1,256.45,8.68,0.9927,0.0274,-0.0180,-0.0181,0.3355,0
12.60,1037.9,256.56,7.86,0.9959,0.0265,-0.0325,0.0276,0.2964,0
12.70,1038.7,256.68,7.13,0.9979,0.0258,-0.0213,0.0046,0.2493,0
12.80,1039.4,256.80,6.51,0.9990,0.0241,-0.0605,0.1473,0.2263,0
12.90,1040.0,256.94,5.70,0.9999,0.0155,-0.1526,0.5940,0.5713,0
13.00,1040.5,257.06,4.40,0.9960,0.0066,-0.0238,0.5595,1.0561,0
13.10,1040.9,257.11,3.48,0.9793,0.0028,0.1134,0.7656,1.4236,0
13.20,1041.2,257.03,3.61,0.9257,-0.0037,0.1871,0.7970,1.9709,0
13.30,1041.6,256.79,4.54,0.8328,-0.0196,0.2850,0.7751,1.9985,0
13.40,1042.1,256.41,5.53,0.7073,-0.0389,0.5257,0.7222,1.9999,0
13.50,1042.7,255.94,6.62,0.5655,-0.0308,0.8046,0.3127,1.5953,0
13.60,1043.5,255.47,8.33,0.4484,-0.0071,0.9704,0.2611,1.2708,0
13.70,1044.4,255.04,10.23,0.3439,0.0121,0.9390,0.1966,1.0397,0
13.80,1045.5,254.64,11.73,0.2594,0.0230,0.8663,0.1139,0.6166,0
13.90,1046.7,254.28,13.08,0.2241,0.0446,0.8165,-0.0217,0.1851,0
14.00,1048.1,253.98,14.93,0.2054,0.0667,0.8599,-0.0421,0.0918,0
14.10,1049.8,253.70,17.41,0.2223,0.0908,0.6551,-0.0291,-1.1265,0
14.20,1051.7,253.46,20.89,0.3826,0.1035,0.4916,0.0882,-1.9517,0
14.30,1054.0,253.25,25.05,0.4958,0.1141,0.4395,0.1635,-0.3936,0
14.40,1056.7,253.05,28.88,0.5444,0.1207,0.2847,0.1344,-0.9048,0
14.50,1059.8,252.88,32.09,0.6250,0.1259,0.2942,0.1869,-1.0955,0
14.60,1063.1,252.73,34.71,0.7019,0.1304,0.1342,0.1101,-1.0957,0
14.70,1066.7,252.59,36.55,0.7706,0.1325,0.0929,0.1081,-1.0325,0
14.80,1070.4,252.47,37.59,0.8288,0.1341,0.0406,0.0661,-1.0006,0
14.90,1074.2,252.39,37.93,0.8768,0.1349,0.0149,0.0507,-0.9306,0
15.00,1078.0,252.32,37.74,0.9134,0.1349,-0.0002,0.0500,-0.8195,0
15.10,1081.7,252.28,37.20,0.9396,0.1342,-0.0089,0.0493,-0.7031,0
15.20,1085.4,252.26,36.46,0.9580,0.1333,-0.0134,0.0437,-0.6019,0
15.30,1089.0,252.25,35.66,0.9706,0.1326,-0.0154,0.0334,-0.5165,0
15.40,1092.5,252.26,34.88,0.9790,0.1321,-0.0162,0.0217,-0.4386,0
15.50,1096.0,252.27,34.17,0.9844,0.1318,-0.0163,0.0125,-0.3621,0
15.60,1099.4,252.30,33.56,0.9876,0.1316,-0.0162,0.0068,-0.2877,0
15.70,1102.7,252.33,33.06,0.9895,0.1315,-0.0160,0.0036,-0.2195,0
15.80,1106.0,252.37,32.67,0.9904,0.1315,-0.0158,0.0020,-0.1614,0
15.90,1109.2,252.41,32.36,0.9909,0.1314,-0.0157,0.0011,-0.1151,0
16.00,1112.4,252.45,32.13,0.9911,0.1314,-0.0156,0.0006,-0.0800,0
16.10,1115.6,252.50,31.96,0.9912,0.1314,-0.0155,0.0004,-0.0545,0
16.20,1118.8,252.55,31.83,0.9913,0.1314,-0.0155,0.0002,-0.0366,0
16.30,1122.0,252.60,31.74,0.9913,0.1314,-0.0155,0.0001,-0.0242,0
16.40,1125.2,252.65,31.68,0.9913,0.1315,-0.0152,0.0167,0.0210,0
16.50,1128.3,252.70,31.65,0.9913,0.1315,-0.0153,0.0069,0.0140,0
16.60,1131.5,252.75,31.62,0.9913,0.1315,-0.0153,0.0033,-0.0020,0
16.70,1134.7,252.80,31.61,0.9913,0.1315,-0.0153,0.0016,-0.0120,0
16.80,1137.8,252.85,31.60,0.9913,0.1315,-0.0154,0.0008,-0.0155,0
16.90,1141.0,252.90,31.60,0.9913,0.1316,-0.0154,0.0004,-0.0149,0
17.00,1144.1,252.95,31.60,0.9913,0.1316,-0.0161,-0.0598,-0.0228,0
17.10,1147.3,253.00,31.53,0.9917,0.1274,-0.0969,-0.3710,-0.3212,0
17.20,1150.4,253.04,30.99,0.9900,0.1193,-0.0380,-0.5869,-0.7650,0
17.30,1153.5,253.02,30.38,0.9788,0.1120,0.0144,-0.5889,-0.9591,0
17.40,1156.5,252.93,30.02,0.9582,0.1046,0.0611,-0.5412,-0.8348,0
17.50,1159.5,252.77,29.94,0.9362,0.1014,0.0405,-0.1958,-0.5563,0
17.60,1162.5,252.63,29.97,0.9245,0.1012,0.0384,-0.1348,-0.1286,0
17.70,1165.5,252.52,29.90,0.9257,0.1018,0.0174,-0.0661,0.1746,0
17.80,1168.5,252.45,29.65,0.9352,0.1024,0.0055,-0.0482,0.3500,0
17.90,1171.4,252.42,29.20,0.9476,0.1025,-0.0032,-0.0476,0.4174,0
18.00,1174.3,252.40,28.62,0.9596,0.1020,-0.0090,-0.0480,0.4298,0
18.10,1177.1,252.41,27.94,0.9698,0.1014,-0.0126,-0.0441,0.4203,0
18.20,1179.9,252.43,27.24,0.9780,0.1008,-0.0145,-0.0349,0.3998,0
18.30,1182.6,252.46,26.57,0.9843,0.1004,-0.0154,-0.0234,0.3672,0
18.40,1185.2,252.51,25.95,0.9888,0.0990,-0.0851,0.0537,0.3289,0
18.50,1187.7,252.57,25.01,0.9938,0.0904,-0.1635,0.4885,0.6125,0
18.60,1190.1,252.64,23.59,0.9960,0.0828,-0.0689,0.5951,1.1190,0
18.70,1192.4,252.68,22.34,0.9853,0.0750,-0.0144,0.7323,1.1457,0
18.80,1194.6,252.60,21.50,0.9632,0.0667,0.1033,0.7522,1.3102,0
18.90,1196.7,252.40,21.39,0.9180,0.0566,0.1160,0.4362,0.2893,0
19.00,1198.9,252.14,21.48,0.9195,0.0568,0.1476,0.3449,0.0194,0
19.10,1201.0,251.86,21.69,0.9127,0.0591,0.1408,0.2489,0.2150,0
19.20,1203.2,251.62,22.07,0.9043,0.0631,0.1244,0.2110,0.1268,0
19.30,1205.5,251.42,22.47,0.9018,0.0663,0.0587,0.0938,-0.0583,0
19.40,1207.7,251.29,22.63,0.9091,0.0686,0.0326,0.0619,-0.2825,0
19.50,1210.0,251.20,22.49,0.9230,0.0701,0.0147,0.0478,-0.4129,0
19.60,1212.2,251.16,22.08,0.9386,0.0707,0.0023,0.0434,-0.4567,0
19.70,1214.4,251.15,21.47,0.9529,0.0706,-0.0059,0.0458,-0.4508,0
19.80,1216.5,251.17,20.74,0.9649,0.0700,-0.0110,0.0468,-0.4287,0
19.90,1218.5,251.21,19.96,0.9745,0.0693,-0.0139,0.0431,-0.4055,0
20.00,1220.5,251.27,19.18,0.9821,0.0686,-0.0154,0.0341,-0.3813,0
20.10,1222.3,251.33,18.44,0.9879,0.0681,-0.0160,0.0228,-0.3496,0
20.20,1224.2,251.42,17.87,0.9921,0.0714,-0.0143,-0.4266,-0.4520,0
20.30,1225.9,251.52,17.50,0.9973,0.0727,-0.0345,-0.7225,-1.1452,0
20.40,1227.7,251.59,17.29,0.9921,0.0704,0.0218,-0.6852,-1.0293,0
20.50,1229.4,251.57,17.43,0.9772,0.0670,0.0867,-0.7004,-1.0072,0
20.60,1231.2,251.43,18.08,0.9497,0.0619,0.1361,-0.6209,-0.6848,0
20.70,1233.0,251.18,18.98,0.9398,0.0602,0.1458,-0.4502,-0.0769,0
20.80,1235.0,250.88,19.77,0.9332,0.0570,0.0724,-0.3539,-0.2649,0
20.90,1237.0,250.58,20.27,0.9209,0.0548,0.0519,-0.1689,-0.3041,0
21.00,1239.0,250.34,20.51,0.9137,0.0555,0.0345,-0.0914,-0.0442,0
21.10,1241.0,250.18,20.46,0.9173,0.0564,0.0190,-0.0628,0.2037,0
21.20,1243.1,250.08,20.09,0.9281,0.0569,0.0063,-0.0490,0.3484,0
21.30,1245.0,250.03,19.46,0.9414,0.0569,-0.0031,-0.0423,0.4051,0
21.40,1246.9,250.02,18.64,0.9542,0.0565,-0.0095,-0.0438,0.4089,0
21.50,1248.8,250.05,17.74,0.9651,0.0556,-0.0135,-0.0461,0.3934,0
21.60,1250.5,250.09,16.80,0.9742,0.0546,-0.0157,-0.0449,0.3766,0
21.70,1252.1,250.16,15.89,0.9816,0.0537,-0.0167,-0.0382,0.3614,0
21.80,1253.7,250.24,15.04,0.9874,0.0531,-0.0170,-0.0276,0.3412,0
21.90,1255.1,250.33,14.28,0.9918,0.0525,-0.0292,-0.0177,0.3096,0
22.00,1256.5,250.43,13.57,0.9952,0.0511,-0.0628,0.2428,0.3823,0
22.10,1257.8,250.56,12.81,0.9986,0.0494,-0.0401,0.4656,0.8148,0
22.20,1259.1,250.68,12.16,0.9962,0.0469,-0.0151,0.6025,1.0075,0
22.30,1260.3,250.75,11.81,0.9824,0.0433,0.0657,0.7235,1.0652,0
22.40,1261.4,250.71,11.97,0.9581,0.0383,0.1404,0.7384,1.1127,0
22.50,1262.7,250.52,12.75,0.9054,0.0290,0.1617,0.7593,1.8638,0
22.60,1264.0,250.22,13.85,0.8771,0.0252,0.2289,0.3335,-0.5363,0
22.70,1265.4,249.92,14.78,0.8988,0.0316,0.1712,0.2464,-0.2990,0
22.80,1267.0,249.64,15.56,0.9023,0.0366,0.1023,0.1472,0.0082,0
22.90,1268.5,249.42,16.13,0.9032,0.0404,0.0590,0.0841,-0.1003,0
23.00,1270.2,249.29,16.37,0.9111,0.0429,0.0423,0.0840,-0.2701,0
23.10,1271.8,249.20,16.29,0.9238,0.0444,0.0172,0.0528,-0.3707,0
23.20,1273.4,249.17,15.90,0.9382,0.0451,0.0040,0.0433,-0.4212,0
23.30,1275.0,249.18,15.30,0.9519,0.0451,-0.0047,0.0443,-0.4254,0
23.40,1276.5,249.22,14.57,0.9636,0.0446,-0.0103,0.0467,-0.4095,0
23.50,1277.9,249.28,13.77,0.9733,0.0438,-0.0136,0.0457,-0.3914,0
23.60,1279.2,249.36,12.96,0.9812,0.0430,-0.0153,0.0392,-0.3746,0
23.70,1280.5,249.45,12.19,0.9874,0.0424,-0.0160,0.0284,-0.3531,0
23.80,1281.6,249.55,11.48,0.9920,0.0420,-0.0162,0.0175,-0.3200,0
23.90,1282.7,249.67,10.87,0.9951,0.0418,-0.0162,0.0097,-0.2745,0
24.00,1283.8,249.80,10.35,0.9970,0.0417,-0.0160,0.0040,-0.2223,0
24.10,1284.8,249.93,9.93,0.9981,0.0416,-0.0160,0.0010,-0.1696,0
24.20,1285.8,250.06,9.60,0.9986,0.0415,-0.0160,0.0007,-0.1220,0
24.30,1286.7,250.20,9.34,0.9989,0.0415,-0.0160,0.0006,-0.0844,0
24.40,1287.7,250.34,9.14,0.9991,0.0413,-0.0225,-0.2562,-0.1382,0
24.50,1288.6,250.49,8.96,0.9988,0.0403,-0.0199,-0.4499,-0.6300,0
24.60,1289.4,250.60,8.85,0.9907,0.0375,0.0280,-0.7446,-1.6255,0
24.70,1290.3,250.63,9.15,0.9477,0.0325,0.2650,-0.7945,-1.9777,0
24.80,1291.3,250.51,10.50,0.8650,0.0227,0.2250,-0.7972,-1.9987,0
24.90,1292.4,250.25,11.69,0.7477,-0.0056,0.2936,-0.7732,-1.9999,0
25.00,1293.6,249.86,11.87,0.6014,-0.0385,0.4328,-0.7580,-2.0000,0
25.10,1294.8,249.37,10.74,0.4408,-0.0667,0.8755,-0.7128,-1.6586,0
25.20,1295.7,248.79,8.75,0.3439,-0.0694,1.0659,-0.2767,-0.7974,0
25.30,1296.5,248.22,7.15,0.2918,-0.0513,0.9043,-0.1069,-0.5164,0
25.40,1297.2,247.75,6.14,0.2521,-0.0350,0.7649,-0.0550,-0.4013,0
25.50,1297.7,247.40,5.56,0.2179,-0.0207,0.8025,-0.0459,-0.3484,0
25.60,1298.3,247.12,5.31,0.1840,-0.0091,0.8443,-0.0796,-0.3654,0
25.70,1298.8,246.87,5.28,0.1539,0.0037,0.8530,-0.0249,-0.2785,0
25.80,1299.3,246.66,5.59,0.1856,0.0138,0.6522,-0.0413,1.3654,0
25.90,1300.0,246.48,7.00,0.3578,0.0199,0.4614,-0.1498,1.9581,0
26.00,1300.8,246.34,9.05,0.4448,0.0216,0.3003,-0.1544,0.8274,0
26.10,1301.8,246.24,10.79,0.5422,0.0224,0.3227,-0.2075,1.2752,0
26.20,1302.9,246.16,12.22,0.6430,0.0233,0.2619,-0.2210,1.2169,0
26.30,1304.2,246.09,13.23,0.7233,0.0241,0.1637,-0.1577,1.0390,0
26.40,1305.6,246.03,13.70,0.7890,0.0256,0.0637,-0.0869,1.0086,0
26.50,1306.9,246.01,13.58,0.8459,0.0263,0.0735,-0.1330,0.9625,0
26.60,1308.3,246.01,13.12,0.8867,0.0274,0.0429,-0.0976,0.7226,0
26.70,1309.5,246.04,12.46,0.9155,0.0279,0.0121,-0.0568,0.6425,0
26.80,1310.7,246.09,11.63,0.9383,0.0279,-0.0009,-0.0496,0.5906,0
26.90,1311.9,246.17,10.71,0.9561,0.0273,-0.0084,-0.0491,0.5353,0
27.00,1312.9,246.27,9.75,0.9696,0.0265,-0.0126,-0.0457,0.4846,0
27.10,1313.8,246.38,8.82,0.9798,0.0257,-0.0147,-0.0372,0.4397,0
27.20,1314.6,246.50,7.96,0.9872,0.0252,-0.0156,-0.0259,0.3942,0
27.30,1315.4,246.64,7.19,0.9923,0.0248,-0.0158,-0.0156,0.3421,0
27.40,1316.1,246.79,6.53,0.9956,0.0247,-0.0158,-0.0086,0.2835,0
27.50,1316.7,246.94,5.99,0.9975,0.0245,-0.0156,-0.0046,0.2237,0
27.60,1317.3,247.10,5.52,0.9987,0.0235,-0.0216,0.0147,0.2076,0
27.70,1317.8,247.26,5.10,0.9994,0.0231,-0.0182,0.0215,0.1497,0
27.80,1318.3,247.43,4.73,0.9998,0.0222,-0.0138,0.5884,0.4779,0
27.90,1318.7,247.60,4.48,0.9966,0.0218,0.0153,0.6340,1.1365,0
28.00,1319.2,247.70,4.72,0.9688,0.0223,0.2016,0.7824,1.9312,0
28.10,1319.7,247.67,6.14,0.9003,0.0269,0.6165,0.7981,1.9956,0
28.20,1320.5,247.46,9.92,0.7930,0.0437,0.2933,0.7886,1.9997,0
28.30,1321.7,247.13,13.04,0.6554,0.0065,0.2759,0.7752,2.0000,0
28.40,1323.1,246.71,13.79,0.4936,-0.0267,0.7166,0.7681,1.9081,0
28.50,1324.4,246.18,12.92,0.3774,-0.0446,1.0320,0.4089,0.8681,0
28.60,1325.6,245.62,11.97,0.3279,-0.0237,0.9481,0.0541,0.3973,0
28.70,1326.8,245.14,11.97,0.2983,0.0034,0.7804,-0.0323,0.2573,0
28.80,1328.0,244.79,12.80,0.2745,0.0303,0.8027,-0.0188,0.2366,0
28.90,1329.4,244.50,14.30,0.2459,0.0542,0.7915,-0.0058,0.2790,0
29.00,1330.9,244.25,16.37,0.3302,0.0704,0.4389,0.0356,-1.7536,0
29.10,1332.7,244.08,19.06,0.4150,0.0786,0.2368,0.0633,-0.8772,0
29.20,1334.8,243.97,21.45,0.5252,0.0827,0.1319,0.0597,-1.5320,0
29.30,1337.0,243.91,23.36,0.6568,0.0851,0.0682,0.0536,-1.7030,0
29.40,1339.4,243.89,24.55,0.7706,0.0864,0.0285,0.0461,-1.5829,0
29.50,1341.9,243.89,24.96,0.8537,0.0864,0.0047,0.0473,-1.3386,0
29.60,1344.4,243.92,24.72,0.9088,0.0854,-0.0084,0.0486,-1.0787,0
29.70,1346.8,243.96,24.06,0.9435,0.0840,-0.0147,0.0460,-0.8568,0
29.80,1349.2,244.02,23.19,0.9651,0.0827,-0.0172,0.0381,-0.6843,0
29.90,1351.4,244.09,22.26,0.9784,0.0823,0.0137,0.0164,-0.5508,0
30.00,1353.6,244.17,21.52,0.9865,0.0852,0.0126,-0.2271,-0.5028,0
