t_s,V_mps,alt_m,climb_mps,throttle,flap
16.100,223.36,1807.2,-88.56,1.00,0.00
16.200,223.82,1798.3,-88.90,1.00,0.00
16.300,224.27,1789.4,-89.27,1.00,0.00
16.400,224.73,1780.5,-89.62,1.00,0.00
16.500,225.18,1771.5,-89.95,1.00,0.00
16.600,225.64,1762.5,-90.37,1.00,0.00
16.700,226.08,1753.4,-90.96,1.00,0.00
16.800,226.52,1744.3,-91.72,1.00,0.00
16.900,226.95,1735.1,-92.67,1.00,0.00
17.000,227.37,1725.7,-93.74,1.00,0.00
17.100,227.78,1716.3,-94.89,1.00,0.00
17.200,228.18,1706.7,-95.98,1.00,0.00
17.300,228.60,1697.1,-96.78,1.00,0.00
17.400,229.02,1687.4,-97.37,1.00,0.00
17.500,229.44,1677.6,-97.84,1.00,0.00
17.600,229.87,1667.8,-98.26,1.00,0.00
17.700,230.30,1658.0,-98.87,1.00,0.00
17.800,230.75,1648.0,-99.90,1.00,0.00
17.900,231.21,1637.9,-101.37,1.00,0.00
18.000,231.67,1627.7,-103.24,1.00,0.00
18.100,232.12,1617.3,-105.46,1.00,0.00
18.200,232.57,1606.6,-107.99,1.00,0.00
18.300,233.01,1595.6,-110.79,1.00,0.00
18.400,233.45,1584.4,-113.83,1.00,0.00
18.500,233.89,1572.8,-117.08,1.00,0.00
18.600,234.33,1560.9,-120.52,1.00,0.00
18.700,234.78,1548.7,-124.12,1.00,0.00
18.800,235.23,1536.1,-127.86,1.00,0.00
18.900,235.68,1523.1,-131.68,1.00,0.00
19.000,236.15,1509.7,-135.45,1.00,0.00
19.100,236.64,1496.0,-139.10,1.00,0.00
19.200,237.15,1481.9,-142.59,1.00,0.00
19.300,237.66,1467.4,-145.86,1.00,0.00
19.400,238.20,1452.7,-148.87,1.00,0.00
19.500,238.75,1437.6,-151.51,1.00,0.00
19.600,239.33,1422.4,-153.73,1.00,0.00
19.700,239.93,1406.9,-155.72,1.00,0.00
19.800,240.54,1391.2,-157.58,1.00,0.00
19.900,241.17,1375.4,-159.29,1.00,0.00
20.000,241.81,1359.3,-160.86,1.00,0.00
20.100,242.46,1343.2,-162.29,1.00,0.00
20.200,243.12,1326.9,-163.49,1.00,0.00
20.300,243.80,1310.5,-164.48,1.00,0.00
20.400,244.47,1294.0,-165.28,1.00,0.00
20.500,245.15,1277.4,-165.87,1.00,0.00
20.600,245.82,1260.8,-166.28,1.00,0.00
20.700,246.49,1244.2,-166.59,1.00,0.00
20.800,247.16,1227.5,-166.92,1.00,0.00
20.900,247.84,1210.8,-167.28,1.00,0.00
21.000,248.51,1194.0,-167.67,1.00,0.00
21.100,249.18,1177.2,-168.06,1.00,0.00
21.200,249.84,1160.4,-168.46,1.00,0.00
21.300,250.50,1143.5,-168.82,1.00,0.00
21.400,251.16,1126.6,-169.10,1.00,0.00
21.500,251.81,1109.7,-169.28,1.00,0.00
21.600,252.46,1092.8,-169.39,1.00,0.00
21.700,253.09,1075.8,-169.41,1.00,0.00
21.800,253.72,1058.9,-169.40,1.00,0.00
21.900,254.36,1042.0,-169.40,1.00,0.00
22.000,254.99,1025.0,-169.43,1.00,0.00
22.100,255.61,1008.1,-169.44,1.00,0.00
22.200,256.23,991.1,-169.37,1.00,0.00
22.300,256.83,974.2,-169.16,1.00,0.00
22.400,257.42,957.3,-168.81,1.00,0.00
22.500,257.99,940.4,-168.37,1.00,0.00
22.600,258.56,923.6,-167.92,1.00,0.00
22.700,259.14,906.9,-167.56,1.00,0.00
22.800,259.72,890.1,-167.22,1.00,0.00
22.900,260.29,873.4,-166.83,1.00,0.00
23.000,260.85,856.8,-166.32,1.00,0.00
23.100,261.40,840.2,-165.67,1.00,0.00
23.200,261.94,823.6,-164.89,1.00,0.00
23.300,262.48,807.2,-163.99,1.00,0.00
23.400,263.00,790.8,-162.99,1.00,0.00
23.500,263.05,775.0,-150.80,1.00,0.00
23.600,263.02,760.8,-134.92,1.00,0.00
23.700,263.15,748.0,-122.42,1.00,0.00
23.800,263.40,736.3,-112.54,1.00,0.00
23.900,263.73,725.5,-105.66,1.00,0.00
24.000,264.11,715.2,-100.87,1.00,0.00
24.100,264.53,705.3,-97.54,1.00,0.00
24.200,264.97,695.6,-95.43,1.00,0.00
24.300,265.44,686.1,-95.02,1.00,0.00
24.400,265.92,676.5,-96.97,1.00,0.00
24.500,266.40,666.7,-100.10,1.00,0.00
24.600,266.85,656.4,-104.44,1.00,0.00
24.700,267.32,645.7,-110.18,1.00,0.00
24.800,267.81,634.3,-116.02,1.00,0.00
24.900,268.34,622.5,-120.25,1.00,0.00
25.000,268.88,610.3,-124.44,1.00,0.00
25.100,269.44,597.6,-129.29,1.00,0.00
25.200,270.02,584.4,-133.37,1.00,0.00
25.300,270.62,570.9,-136.31,1.00,0.00
25.400,271.22,557.1,-137.90,1.00,0.00
25.500,271.82,543.4,-137.32,1.00,0.00
25.600,272.40,529.9,-133.00,1.00,0.00
25.700,272.96,516.7,-129.29,1.00,0.00
25.800,273.49,504.1,-124.61,1.00,0.00
25.900,274.01,491.9,-119.86,1.00,0.00
26.000,274.51,480.1,-115.65,1.00,0.00
26.100,274.99,468.8,-111.20,1.00,0.00
26.200,275.41,458.0,-103.41,1.00,0.00
26.300,275.82,448.1,-96.93,1.00,0.00
26.400,276.22,438.6,-92.44,1.00,0.00
26.500,276.62,429.6,-89.36,1.00,0.00
26.600,277.02,420.8,-87.21,1.00,0.00
26.700,277.40,412.1,-85.83,1.00,0.00
26.800,277.77,403.5,-85.65,1.00,0.00
26.900,278.13,394.9,-86.53,1.00,0.00
27.000,278.48,386.2,-88.61,1.00,0.00
27.100,278.85,377.2,-90.10,1.00,0.00
27.200,279.24,368.1,-91.25,1.00,0.00
27.300,279.63,359.0,-91.63,1.00,0.00
27.400,280.01,350.0,-88.22,1.00,0.00
27.500,280.33,341.5,-80.30,1.00,0.00
27.600,280.57,334.1,-68.84,1.00,0.00
27.700,280.68,328.1,-52.39,1.00,0.00
27.800,280.67,323.9,-32.93,1.00,0.00
27.900,280.58,321.6,-13.16,1.00,0.00
28.000,280.35,321.5,9.37,1.00,0.00
28.100,279.96,323.8,34.26,1.00,0.00
28.200,279.45,328.6,60.20,1.00,0.00
28.300,278.84,336.0,85.59,1.00,0.00
28.400,278.15,345.9,109.83,1.00,0.00
28.500,277.39,358.1,132.85,1.00,0.00
28.600,276.54,372.6,154.53,1.00,0.00
28.700,275.63,389.1,174.66,1.00,0.00
28.800,274.66,407.6,193.05,1.00,0.00
28.900,273.62,427.8,209.57,1.00,0.00
29.000,272.53,449.6,224.08,1.00,0.00
29.100,271.40,472.7,236.48,1.00,0.00
29.200,270.23,496.9,246.69,1.00,0.00
29.300,269.02,522.0,254.66,1.00,0.00
29.400,267.80,547.8,260.37,1.00,0.00
29.500,266.56,574.1,263.79,1.00,0.00
29.600,265.32,600.5,264.95,1.00,0.00
29.700,264.08,627.0,263.87,1.00,0.00
29.800,262.85,653.2,260.61,1.00,0.00
29.900,261.64,679.0,255.23,1.00,0.00
30.000,260.45,704.1,247.82,1.00,0.00
30.100,259.30,728.4,238.46,1.00,0.00
30.200,258.19,751.7,227.28,1.00,0.00
30.300,257.13,773.7,214.38,1.00,0.00
30.400,256.13,794.4,199.90,1.00,0.00
30.500,255.20,813.5,184.40,1.00,0.00
30.600,254.48,831.2,171.67,1.00,0.00
30.700,253.90,847.9,162.46,1.00,0.00
30.800,253.40,863.8,156.12,1.00,0.00
30.900,252.95,879.1,151.80,1.00,0.00
31.000,252.52,894.1,148.86,1.00,0.00
31.100,252.11,908.9,147.00,1.00,0.00
31.200,251.72,923.5,145.83,1.00,0.00
31.300,251.33,938.1,144.95,1.00,0.00
31.400,250.94,952.5,144.28,1.00,0.00
31.500,250.50,966.9,143.30,1.00,0.00
31.600,249.98,981.2,141.69,1.00,0.00
31.700,249.38,995.2,139.14,1.00,0.00
31.800,248.71,1008.9,135.40,1.00,0.00
31.900,248.00,1022.2,130.40,1.00,0.00
32.000,247.31,1034.9,124.41,1.00,0.00
32.100,246.67,1047.0,117.58,1.00,0.00
32.200,246.05,1058.3,109.95,1.00,0.00
32.300,245.47,1068.9,101.52,1.00,0.00
32.400,244.92,1078.6,92.37,1.00,0.00
32.500,244.42,1087.3,82.58,1.00,0.00
32.600,243.96,1095.0,72.21,1.00,0.00
32.700,243.54,1101.6,61.34,1.00,0.00
32.800,243.17,1107.1,50.05,1.00,0.00
32.900,242.85,1111.5,38.42,1.00,0.00
33.000,242.57,1114.7,26.53,1.00,0.00
33.100,242.35,1116.7,14.46,1.00,0.00
33.200,242.17,1117.5,2.29,1.00,0.00
33.300,242.05,1117.0,-9.89,1.00,0.00
33.400,241.97,1115.4,-22.00,1.00,0.00
33.500,241.95,1112.5,-33.95,1.00,0.00
33.600,241.97,1108.5,-45.67,1.00,0.00
33.700,242.04,1103.3,-57.08,1.00,0.00
33.800,242.15,1097.0,-68.09,1.00,0.00
33.900,242.31,1089.6,-78.63,1.00,0.00
34.000,242.50,1081.2,-88.63,1.00,0.00
34.100,242.76,1071.8,-97.79,1.00,0.00
34.200,243.17,1061.7,-104.49,1.00,0.00
34.300,243.73,1051.0,-108.57,1.00,0.00
34.400,244.36,1040.0,-110.78,1.00,0.00
34.500,245.01,1028.9,-111.66,1.00,0.00
34.600,245.65,1017.7,-111.58,1.00,0.00
34.700,246.28,1006.6,-111.05,1.00,0.00
34.800,246.91,995.5,-110.77,1.00,0.00
34.900,247.54,984.4,-110.65,1.00,0.00
35.000,248.17,973.3,-110.71,1.00,0.00
35.100,248.79,962.2,-110.97,1.00,0.00
35.200,249.42,951.1,-111.31,1.00,0.00
35.300,250.04,940.0,-111.60,1.00,0.00
35.400,250.65,928.8,-111.80,1.00,0.00
35.500,251.26,917.7,-110.94,1.00,0.00
35.600,251.79,906.7,-107.75,1.00,0.00
35.700,252.20,896.2,-102.25,1.00,0.00
35.800,252.50,886.4,-94.66,1.00,0.00
35.900,252.67,877.4,-85.24,1.00,0.00
36.000,252.76,869.5,-74.59,1.00,0.00
36.100,252.82,862.6,-63.44,1.00,0.00
36.200,252.84,856.9,-51.93,1.00,0.00
36.300,252.82,852.3,-40.05,1.00,0.00
36.400,252.75,849.0,-27.86,1.00,0.00
36.500,252.63,846.9,-15.48,1.00,0.00
36.600,252.46,846.0,-3.02,1.00,0.00
36.700,252.25,846.4,9.42,1.00,0.00
36.800,251.99,848.0,21.73,1.00,0.00
36.900,251.68,850.8,33.81,1.00,0.00
37.000,251.33,854.8,45.57,1.00,0.00
37.100,250.93,860.0,56.90,1.00,0.00
37.200,250.49,866.3,67.73,1.00,0.00
37.300,250.02,873.6,77.96,1.00,0.00
37.400,249.51,881.9,87.52,1.00,0.00
37.500,248.96,891.1,96.34,1.00,0.00
37.600,248.38,901.2,104.34,1.00,0.00
37.700,247.78,912.0,111.49,1.00,0.00
37.800,247.15,923.5,117.72,1.00,0.00
37.900,246.50,935.6,123.00,1.00,0.00
38.000,245.83,948.1,127.30,1.00,0.00
38.100,245.15,961.1,130.59,1.00,0.00
38.200,244.46,974.2,132.87,1.00,0.00
38.300,243.77,987.6,134.12,1.00,0.00
38.400,243.08,1001.0,134.35,1.00,0.00
38.500,242.39,1014.4,133.56,1.00,0.00
38.600,241.70,1027.7,131.78,1.00,0.00
38.700,241.03,1040.7,129.02,1.00,0.00
38.800,240.38,1053.4,125.32,1.00,0.00
38.900,239.74,1065.7,120.71,1.00,0.00
39.000,239.13,1077.5,115.24,1.00,0.00
39.100,238.54,1088.7,108.96,1.00,0.00
39.200,238.01,1099.2,102.24,1.00,0.00
39.300,237.65,1109.1,96.51,1.00,0.00
39.400,237.38,1118.5,91.54,1.00,0.00
39.500,237.18,1127.4,87.53,1.00,0.00
39.600,237.02,1136.0,84.51,1.00,0.00
39.700,236.89,1144.3,82.29,1.00,0.00
39.800,236.77,1152.5,80.72,1.00,0.00
39.900,236.66,1160.5,80.08,1.00,0.00
40.000,236.55,1168.5,80.03,1.00,0.00
40.100,236.43,1176.4,77.00,1.00,0.00
40.200,236.29,1183.7,69.15,1.00,0.00
40.300,236.20,1190.2,61.22,1.00,0.00
40.400,236.15,1196.0,55.68,1.00,0.00
40.500,236.14,1201.3,51.92,1.00,0.00
40.600,236.13,1206.3,48.17,1.00,0.00
40.700,235.98,1210.9,43.92,1.00,0.00
40.800,235.64,1215.1,39.71,1.00,0.00
40.900,235.19,1218.8,34.61,1.00,0.00
41.000,234.79,1221.9,28.80,1.00,0.00
41.100,234.43,1224.5,23.36,1.00,0.00
41.200,234.10,1226.6,18.57,1.00,0.00
41.300,233.82,1228.2,13.75,1.00,0.00
41.400,233.59,1229.2,8.41,1.00,0.00
41.500,233.41,1229.8,2.64,1.00,0.00
41.600,233.28,1229.7,-3.48,1.00,0.00
41.700,233.19,1229.0,-9.83,1.00,0.00
41.800,233.16,1227.7,-15.96,1.00,0.00
41.900,233.22,1225.8,-21.32,1.00,0.00
42.000,233.36,1223.4,-25.96,1.00,0.00
42.100,233.58,1220.6,-29.72,1.00,0.00
42.200,233.87,1217.5,-32.33,1.00,0.00
42.300,234.20,1214.1,-34.15,1.00,0.00
42.400,234.56,1210.7,-35.32,1.00,0.00
42.500,234.93,1207.1,-35.86,1.00,0.00
42.600,235.31,1203.5,-36.09,1.00,0.00
42.700,235.68,1199.9,-36.17,1.00,0.00
42.800,236.06,1196.3,-36.17,1.00,0.00
42.900,236.44,1192.6,-36.15,1.00,0.00
43.000,236.81,1189.0,-36.16,1.00,0.00
43.100,237.19,1185.4,-36.21,1.00,0.00
43.200,237.56,1181.8,-36.28,1.00,0.00
43.300,237.93,1178.1,-36.36,1.00,0.00
43.400,238.31,1174.5,-36.45,1.00,0.00
43.500,238.68,1170.8,-36.55,1.00,0.00
43.600,239.05,1167.2,-36.69,1.00,0.00
43.700,239.41,1163.5,-36.88,1.00,0.00
43.800,239.78,1159.8,-37.13,1.00,0.00
43.900,240.15,1156.1,-37.43,1.00,0.00
44.000,240.52,1152.3,-37.72,1.00,0.00
44.100,240.88,1148.5,-37.33,1.00,0.00
44.200,241.17,1144.9,-35.46,1.00,0.00
44.300,241.35,1141.5,-32.20,1.00,0.00
44.400,241.41,1138.5,-27.77,1.00,0.00
44.500,241.37,1136.0,-22.48,1.00,0.00
44.600,241.29,1134.1,-16.91,1.00,0.00
44.700,241.20,1132.7,-11.34,1.00,0.00
44.800,241.09,1131.9,-5.76,1.00,0.00
44.900,240.98,1131.6,-0.24,1.00,0.00
45.000,241.00,1131.8,3.93,1.00,0.00
45.100,241.14,1132.3,6.02,1.00,0.00
45.200,241.31,1133.0,6.61,1.00,0.00
45.300,241.50,1133.6,6.15,1.00,0.00
45.400,241.68,1134.2,4.87,1.00,0.00
45.500,241.86,1134.5,2.73,1.00,0.00
45.600,242.03,1134.7,0.24,1.00,0.00
45.700,242.24,1134.6,-0.41,1.00,0.00
45.800,242.42,1134.6,-0.39,1.00,0.00
45.900,242.51,1134.6,0.58,1.00,0.00
46.000,242.48,1134.7,2.58,1.00,0.00
46.100,242.39,1135.1,4.55,1.00,0.00
46.200,242.21,1135.6,5.22,1.00,0.00
46.300,242.04,1136.1,4.42,1.00,0.00
46.400,241.90,1136.5,3.49,1.00,0.00
46.500,241.79,1136.8,2.48,1.00,0.00
46.600,241.72,1137.0,1.43,1.00,0.00
46.700,241.68,1137.1,0.43,1.00,0.00
46.800,241.71,1137.0,-0.85,1.00,0.00
46.900,241.80,1136.9,-2.41,1.00,0.00
47.000,241.93,1136.5,-3.97,1.00,0.00
47.100,242.09,1136.1,-5.35,1.00,0.00
47.200,242.29,1135.5,-5.59,1.00,0.00
47.300,242.49,1135.0,-3.77,1.00,0.00
47.400,242.69,1134.8,-1.31,1.00,0.00
47.500,242.86,1134.8,2.67,1.00,0.00
47.600,242.92,1135.5,10.23,1.00,0.00
47.700,242.85,1137.0,19.42,1.00,0.00
47.800,242.56,1139.6,31.23,1.00,0.00
47.900,242.20,1143.3,42.45,1.00,0.00
48.000,241.81,1148.1,52.93,1.00,0.00
48.100,241.36,1153.9,62.64,1.00,0.00
48.200,240.90,1160.7,71.39,1.00,0.00
48.300,240.33,1168.3,80.43,1.00,0.00
48.400,239.85,1176.7,86.86,1.00,0.00
48.500,239.45,1185.6,90.94,1.00,0.00
48.600,239.10,1194.9,93.62,1.00,0.00
48.700,238.76,1204.4,95.77,1.00,0.00
48.800,238.36,1214.1,98.56,1.00,0.00
48.900,237.80,1224.2,102.72,1.00,0.00
49.000,237.16,1234.6,106.71,1.00,0.00
49.100,236.49,1245.5,110.55,1.00,0.00
49.200,235.85,1256.8,114.24,1.00,0.00
49.300,235.24,1268.4,117.53,1.00,0.00
49.400,234.65,1280.3,119.99,1.00,0.00
49.500,234.07,1292.4,121.91,1.00,0.00
49.600,233.53,1304.6,122.74,1.00,0.00
49.700,233.06,1316.9,122.79,1.00,0.00
49.800,232.58,1329.2,122.22,1.00,0.00
49.900,232.06,1341.3,120.84,1.00,0.00
50.000,231.52,1353.3,118.94,1.00,0.00
50.100,230.93,1365.1,116.46,1.00,0.00
50.200,230.29,1376.5,112.98,1.00,0.00
50.300,229.56,1387.6,107.67,1.00,0.00
50.400,228.71,1397.9,100.25,1.00,0.00
50.500,227.91,1407.5,91.15,1.00,0.00
50.600,227.32,1416.1,80.98,1.00,0.00
50.700,226.97,1423.6,70.35,1.00,0.00
50.800,226.79,1430.1,60.42,1.00,0.00
50.900,226.70,1435.6,50.57,1.00,0.00
51.000,226.66,1440.1,40.69,1.00,0.00
51.100,226.68,1443.6,30.79,1.00,0.00
51.200,226.74,1446.2,20.88,1.00,0.00
51.300,226.85,1447.7,10.98,1.00,0.00
51.400,226.99,1448.3,1.10,1.00,0.00
51.500,227.19,1447.8,-8.75,1.00,0.00
51.600,227.42,1446.4,-18.40,1.00,0.00
51.700,227.70,1444.1,-27.82,1.00,0.00
51.800,228.04,1440.8,-36.40,1.00,0.00
51.900,228.43,1436.8,-42.79,1.00,0.00
52.000,228.85,1432.2,-48.43,1.00,0.00
52.100,229.29,1427.1,-54.74,1.00,0.00
52.200,229.76,1421.3,-60.77,1.00,0.00
52.300,230.25,1414.9,-66.83,1.00,0.00
52.400,230.75,1407.8,-73.73,1.00,0.00
52.500,231.26,1400.0,-81.28,1.00,0.00
52.600,231.79,1391.5,-89.25,1.00,0.00
52.700,232.34,1382.1,-97.48,1.00,0.00
52.800,232.91,1371.9,-105.84,1.00,0.00
52.900,233.51,1360.9,-114.24,1.00,0.00
53.000,234.15,1349.0,-122.63,1.00,0.00
53.100,234.81,1336.3,-130.93,1.00,0.00
53.200,235.51,1322.7,-139.11,1.00,0.00
53.300,236.24,1308.4,-147.15,1.00,0.00
53.400,237.00,1293.2,-154.98,1.00,0.00
53.500,237.81,1277.3,-161.74,1.00,0.00
53.600,238.69,1260.9,-165.31,1.00,0.00
53.700,239.57,1244.3,-166.65,1.00,0.00
53.800,240.42,1227.6,-167.11,1.00,0.00
53.900,241.29,1210.9,-167.47,1.00,0.00
54.000,242.17,1194.1,-167.93,1.00,0.00
54.100,243.04,1177.3,-168.10,1.00,0.00
54.200,243.91,1160.6,-166.45,1.00,0.00
54.300,244.74,1144.1,-162.77,1.00,0.00
54.400,245.53,1128.1,-158.05,1.00,0.00
54.500,246.26,1112.6,-151.17,1.00,0.00
54.600,246.87,1098.0,-141.63,1.00,0.00
