t_s,V_mps,alt_m,climb_mps,throttle,flap
11.800,278.76,690.8,99.82,1.00,0.00
11.900,278.49,700.7,99.09,1.00,0.00
12.000,278.23,710.6,98.48,1.00,0.00
12.100,277.97,720.4,97.98,1.00,0.00
12.200,277.71,730.2,97.58,1.00,0.00
12.300,277.45,739.9,97.24,1.00,0.00
12.400,277.19,749.6,96.97,1.00,0.00
12.500,276.94,759.3,96.75,1.00,0.00
12.600,276.68,769.0,96.56,1.00,0.00
12.700,276.43,778.6,96.40,1.00,0.00
12.800,276.18,788.2,96.25,1.00,0.00
12.900,275.93,797.9,96.12,1.00,0.00
13.000,275.68,807.5,95.99,1.00,0.00
13.100,275.43,817.0,95.87,1.00,0.00
13.200,275.19,826.6,95.75,1.00,0.00
13.300,274.94,836.2,95.64,1.00,0.00
13.400,274.70,845.8,95.52,1.00,0.00
13.500,274.45,855.3,95.41,1.00,0.00
13.600,274.21,864.8,95.30,1.00,0.00
13.700,273.97,874.4,95.20,1.00,0.00
13.800,273.73,883.9,95.10,1.00,0.00
13.900,273.49,893.4,95.01,1.00,0.00
14.000,273.25,902.9,94.92,1.00,0.00
14.100,273.01,912.3,94.82,1.00,0.00
14.200,272.77,921.8,94.65,1.00,0.00
14.300,272.54,931.2,92.82,1.00,0.00
14.400,272.31,940.3,89.07,1.00,0.00
14.500,272.08,948.9,83.62,1.00,0.00
14.600,271.87,956.9,77.04,1.00,0.00
14.700,271.67,964.3,70.42,1.00,0.00
14.800,271.49,971.0,65.01,1.00,0.00
14.900,271.33,977.3,60.40,1.00,0.00
15.000,271.11,982.9,53.55,1.00,0.00
15.100,270.86,987.8,44.81,1.00,0.00
15.200,270.64,991.8,35.28,1.00,0.00
15.300,270.48,994.8,25.55,1.00,0.00
15.400,270.38,996.8,15.92,1.00,0.00
15.500,270.33,997.9,6.35,1.00,0.00
15.600,270.33,998.0,-3.31,1.00,0.00
15.700,270.35,997.1,-13.68,1.00,0.00
15.800,270.43,995.2,-24.80,1.00,0.00
15.900,270.57,992.1,-35.87,1.00,0.00
16.000,270.76,987.9,-46.60,1.00,0.00
16.100,271.00,982.7,-57.00,1.00,0.00
16.200,271.28,976.4,-66.34,1.00,0.00
16.300,271.62,969.4,-73.36,1.00,0.00
16.400,271.98,961.8,-79.18,1.00,0.00
16.500,272.37,953.6,-84.24,1.00,0.00
16.600,272.77,944.9,-89.31,1.00,0.00
16.700,273.19,935.7,-94.35,1.00,0.00
16.800,273.63,926.0,-99.17,1.00,0.00
16.900,274.08,915.8,-104.28,1.00,0.00
17.000,274.54,905.0,-110.46,1.00,0.00
17.100,275.01,893.6,-117.50,1.00,0.00
17.200,275.51,881.5,-124.29,1.00,0.00
17.300,276.04,868.7,-130.40,1.00,0.00
17.400,276.58,855.4,-136.06,1.00,0.00
17.500,277.14,841.4,-141.69,1.00,0.00
17.600,277.73,827.0,-146.61,1.00,0.00
17.700,278.32,812.0,-151.79,1.00,0.00
17.800,278.93,796.6,-156.25,1.00,0.00
17.900,279.56,780.8,-160.53,1.00,0.00
18.000,280.20,764.5,-165.05,1.00,0.00
18.100,280.84,747.7,-169.95,1.00,0.00
18.200,281.50,730.4,-175.34,1.00,0.00
18.300,282.16,712.6,-181.10,1.00,0.00
18.400,282.84,694.1,-187.21,1.00,0.00
18.500,283.54,675.1,-193.20,1.00,0.00
18.600,284.26,655.5,-197.51,1.00,0.00
18.700,285.01,635.6,-200.03,1.00,0.00
18.800,285.75,615.5,-200.82,1.00,0.00
18.900,286.49,595.5,-199.63,1.00,0.00
19.000,287.17,575.8,-194.25,1.00,0.00
19.100,287.78,556.8,-185.15,1.00,0.00
19.200,288.37,538.8,-177.10,1.00,0.00
19.300,288.95,521.5,-169.69,1.00,0.00
19.400,289.50,504.9,-162.30,1.00,0.00
19.500,290.02,489.1,-154.64,1.00,0.00
19.600,290.51,474.0,-146.65,1.00,0.00
19.700,290.96,459.8,-137.48,1.00,0.00
19.800,291.35,446.7,-126.67,1.00,0.00
19.900,291.75,434.5,-119.30,1.00,0.00
20.000,292.16,422.8,-114.32,1.00,0.00
20.100,292.55,411.6,-110.63,1.00,0.00
20.200,292.93,400.7,-107.27,1.00,0.00
20.300,293.31,390.1,-104.99,1.00,0.00
20.400,293.68,379.7,-102.99,1.00,0.00
20.500,294.03,369.6,-99.03,1.00,0.00
20.600,294.36,360.0,-94.51,1.00,0.00
20.700,294.67,350.8,-89.74,1.00,0.00
20.800,294.95,342.1,-83.60,1.00,0.00
20.900,295.20,334.1,-76.38,1.00,0.00
21.000,295.42,326.9,-68.53,1.00,0.00
21.100,295.62,320.5,-60.75,1.00,0.00
21.200,295.79,314.8,-52.99,1.00,0.00
21.300,295.92,310.0,-44.33,1.00,0.00
21.400,296.02,306.0,-35.41,1.00,0.00
21.500,296.09,302.9,-26.61,1.00,0.00
21.600,296.12,300.8,-16.05,1.00,0.00
21.700,296.07,299.9,-3.21,1.00,0.00
21.800,295.97,300.3,10.59,1.00,0.00
21.900,295.84,302.1,22.77,1.00,0.00
22.000,295.73,304.8,30.36,1.00,0.00
22.100,295.61,308.2,37.28,1.00,0.00
22.200,295.39,312.6,50.28,1.00,0.00
22.300,295.01,318.5,68.64,1.00,0.00
22.400,294.48,326.5,89.84,1.00,0.00
22.500,293.79,336.7,111.57,1.00,0.00
22.600,292.96,349.0,132.00,1.00,0.00
22.700,292.01,363.2,149.78,1.00,0.00
22.800,290.95,378.9,163.89,1.00,0.00
22.900,289.80,395.9,173.68,1.00,0.00
23.000,288.60,413.6,178.71,1.00,0.00
23.100,287.37,431.5,178.80,1.00,0.00
23.200,286.16,449.2,174.51,1.00,0.00
23.300,285.14,466.4,170.68,1.00,0.00
23.400,284.28,483.3,169.01,1.00,0.00
23.500,283.52,500.2,168.97,1.00,0.00
23.600,282.84,517.2,169.69,1.00,0.00
23.700,282.21,534.2,170.17,1.00,0.00
23.800,281.61,551.2,170.36,1.00,0.00
23.900,281.04,568.2,169.91,1.00,0.00
24.000,280.48,585.0,164.64,1.00,0.00
24.100,279.87,600.9,153.23,1.00,0.00
24.200,279.25,615.3,137.69,1.00,0.00
24.300,278.76,628.4,125.63,1.00,0.00
24.400,278.38,640.6,118.62,1.00,0.00
24.500,278.04,652.2,113.95,1.00,0.00
24.600,277.72,663.4,110.75,1.00,0.00
24.700,277.41,674.3,108.56,1.00,0.00
24.800,277.12,685.1,107.04,1.00,0.00
24.900,276.83,695.7,105.97,1.00,0.00
25.000,276.54,706.3,105.21,1.00,0.00
25.100,276.26,716.8,104.66,1.00,0.00
25.200,275.98,727.2,104.25,1.00,0.00
25.300,275.70,737.6,103.97,1.00,0.00
25.400,275.43,748.0,103.74,1.00,0.00
25.500,275.15,758.4,103.31,1.00,0.00
25.600,274.87,768.6,102.13,1.00,0.00
25.700,274.56,778.7,100.33,1.00,0.00
25.800,274.28,788.7,98.67,1.00,0.00
25.900,274.02,798.5,97.08,1.00,0.00
26.000,273.76,808.1,95.56,1.00,0.00
26.100,273.52,817.6,94.20,1.00,0.00
26.200,273.29,826.9,92.97,1.00,0.00
26.300,273.06,836.1,91.92,1.00,0.00
26.400,272.83,845.3,91.08,1.00,0.00
26.500,272.61,854.4,90.45,1.00,0.00
26.600,272.39,863.4,90.00,1.00,0.00
26.700,272.17,872.4,89.68,1.00,0.00
26.800,271.95,881.3,89.43,1.00,0.00
26.900,271.74,890.2,89.24,1.00,0.00
27.000,271.52,899.2,89.10,1.00,0.00
27.100,271.31,908.1,88.98,1.00,0.00
27.200,271.10,916.9,88.88,1.00,0.00
27.300,270.89,925.8,88.79,1.00,0.00
27.400,270.68,934.7,88.70,1.00,0.00
27.500,270.47,943.6,88.62,1.00,0.00
27.600,270.26,952.4,88.55,1.00,0.00
27.700,270.05,961.3,88.47,1.00,0.00
27.800,269.84,970.1,88.40,1.00,0.00
27.900,269.64,978.9,88.33,1.00,0.00
28.000,269.43,987.8,88.26,1.00,0.00
28.100,269.22,996.6,88.19,1.00,0.00
28.200,269.02,1005.4,88.12,1.00,0.00
28.300,268.82,1014.2,88.05,1.00,0.00
28.400,268.61,1023.0,87.99,1.00,0.00
28.500,268.40,1031.8,87.91,0.96,0.00
28.600,268.16,1040.6,87.83,0.91,0.00
28.700,267.89,1049.4,87.74,0.86,0.00
28.800,267.59,1058.1,87.64,0.81,0.50
28.900,267.25,1066.9,87.53,0.76,0.50
29.000,266.86,1075.6,87.40,0.71,0.50
29.100,266.42,1084.4,87.25,0.66,0.50
29.200,265.90,1093.1,87.07,0.63,0.50
29.300,265.33,1101.8,86.86,0.63,0.50
29.400,264.70,1110.4,86.60,0.63,0.50
29.500,264.01,1119.1,86.45,0.63,0.50
29.600,263.30,1127.9,89.19,0.63,0.50
29.700,262.50,1137.1,95.31,0.63,0.50
29.800,261.57,1147.0,102.19,0.63,0.50
29.900,260.52,1157.5,107.55,0.63,0.50
30.000,259.35,1168.4,109.92,0.63,0.50
30.100,258.11,1179.4,108.53,0.63,0.50
30.200,256.84,1190.0,103.48,0.63,0.50
30.300,255.60,1199.9,95.91,0.63,0.50
30.400,254.44,1209.0,86.66,0.63,0.50
30.500,253.37,1217.1,76.25,0.63,0.50
30.600,252.37,1224.2,64.84,0.63,0.50
30.700,251.44,1230.0,52.57,0.63,0.50
30.800,250.57,1234.5,39.63,0.63,0.50
30.900,249.77,1237.8,26.18,0.63,0.50
31.000,249.03,1239.6,12.38,0.63,0.50
31.100,248.36,1240.1,-1.62,0.63,0.50
31.200,247.75,1239.2,-15.69,0.63,0.50
31.300,247.21,1236.9,-29.70,0.63,0.50
31.400,246.72,1233.1,-43.53,0.63,0.50
31.500,246.30,1228.1,-57.06,0.63,0.50
31.600,245.93,1221.6,-70.05,0.63,0.50
31.700,245.76,1214.1,-79.82,0.60,0.50
31.800,245.72,1205.7,-85.54,0.55,0.50
31.900,245.73,1197.0,-88.30,0.50,0.50
32.000,245.71,1188.1,-90.08,0.45,0.50
32.100,245.61,1178.9,-94.42,0.40,0.50
32.200,245.38,1169.1,-100.90,0.35,0.50
32.300,245.02,1158.6,-108.11,0.30,0.50
32.400,244.56,1147.4,-116.03,0.25,0.50
32.500,244.16,1135.4,-121.95,0.20,0.50
32.600,243.78,1123.0,-125.92,0.15,0.50
32.700,243.36,1110.2,-129.62,0.10,0.50
32.800,242.89,1097.0,-133.46,0.07,0.50
32.900,242.38,1083.5,-137.11,0.07,0.50
33.000,241.81,1069.6,-140.16,0.07,0.50
33.100,241.09,1055.5,-141.57,0.07,0.50
33.200,240.20,1041.4,-141.07,0.07,0.50
33.300,239.25,1027.3,-139.44,0.07,0.50
33.400,238.29,1013.5,-136.90,0.07,0.50
33.500,237.33,1000.0,-133.84,0.07,0.50
33.600,236.34,986.8,-130.00,0.07,0.50
33.700,235.30,974.1,-125.09,0.07,0.50
33.800,234.26,961.8,-120.59,0.07,0.50
33.900,233.25,950.0,-116.29,0.07,0.50
34.000,232.32,938.6,-111.86,0.07,0.50
34.100,231.44,927.6,-107.92,0.07,0.50
34.200,230.60,917.0,-104.89,0.07,0.50
34.300,229.77,906.6,-102.82,0.07,0.50
34.400,228.96,896.4,-101.57,0.07,0.50
34.500,228.16,886.3,-100.92,0.07,0.50
34.600,227.38,876.2,-100.63,0.07,0.50
34.700,226.61,866.2,-100.52,0.07,0.50
34.800,225.86,856.1,-100.47,0.07,0.50
34.900,225.11,846.1,-100.36,0.07,0.50
35.000,224.36,836.1,-99.81,0.07,0.50
35.100,223.55,826.1,-99.86,0.07,0.50
35.200,222.63,816.1,-100.65,0.07,0.50
35.300,221.62,805.9,-101.47,0.07,0.50
35.400,220.61,795.8,-101.81,0.07,0.50
35.500,219.63,785.6,-101.62,0.07,0.50
35.600,218.68,775.5,-100.91,0.07,0.50
35.700,217.73,765.4,-99.69,0.07,0.50
35.800,216.79,755.6,-97.95,0.07,0.50
35.900,215.86,745.9,-95.70,0.07,0.50
36.000,214.92,736.5,-92.97,0.07,0.50
36.100,213.99,727.3,-89.76,0.07,0.50
36.200,213.05,718.5,-86.10,0.07,0.50
36.300,212.11,710.2,-82.01,0.07,0.50
36.400,211.16,702.2,-77.52,0.07,0.50
36.500,210.20,694.7,-72.03,0.07,0.50
36.600,209.19,687.9,-64.59,0.07,0.50
36.700,208.09,681.9,-54.92,0.07,0.50
36.800,206.94,677.0,-44.39,0.07,0.50
36.900,205.77,673.2,-33.84,0.07,0.50
37.000,204.59,670.3,-23.56,0.07,0.50
37.100,203.40,668.5,-14.07,0.07,0.50
37.200,202.22,667.6,-5.65,0.07,0.50
37.300,201.02,667.4,1.86,0.07,0.50
37.400,199.80,668.0,8.88,0.07,0.50
37.500,198.57,669.2,15.49,0.07,0.50
37.600,197.31,671.1,21.42,0.07,0.50
37.700,196.04,673.5,26.34,0.07,0.50
37.800,194.76,676.3,29.90,0.07,0.50
37.900,193.47,679.5,32.01,0.07,1.00
38.000,192.17,682.7,32.76,0.07,1.00
38.100,190.88,686.0,32.03,0.07,1.00
38.200,189.54,689.0,29.33,0.07,1.00
38.300,188.17,691.7,25.09,0.07,1.00
38.400,186.76,694.0,19.71,0.07,1.00
38.500,185.30,695.6,13.51,0.07,1.00
38.600,183.79,696.6,6.58,0.07,1.00
38.700,182.21,696.8,-1.20,0.07,1.00
38.800,180.66,696.3,-9.35,0.07,0.00
38.900,179.32,695.0,-16.14,0.07,0.00
39.000,178.21,693.0,-21.52,0.07,0.00
39.100,177.30,690.6,-26.71,0.07,0.00
39.200,176.54,687.6,-32.02,0.07,0.00
39.300,175.91,684.2,-37.05,0.07,0.00
39.400,175.38,680.2,-41.24,0.07,0.00
39.500,174.92,675.9,-44.30,0.07,0.00
39.600,174.51,671.4,-46.27,0.07,0.00
39.700,174.14,666.7,-47.80,0.07,0.00
39.800,173.77,661.7,-51.08,0.07,0.00
39.900,173.33,656.3,-57.52,0.07,0.00
40.000,172.79,650.1,-67.02,0.07,0.00
40.100,172.28,642.8,-77.13,0.07,0.00
40.200,171.88,634.6,-86.21,0.07,0.00
40.300,171.59,625.5,-94.22,0.07,0.00
40.400,171.36,615.7,-101.51,0.07,0.00
40.500,171.20,605.2,-108.21,0.07,0.00
40.600,171.09,594.0,-114.40,0.07,0.00
40.700,171.04,582.3,-120.33,0.07,0.00
40.800,171.05,569.9,-126.00,0.07,0.00
40.900,171.11,557.0,-131.12,0.07,0.00
41.000,171.22,543.7,-135.60,0.07,0.00
41.100,171.38,529.9,-139.41,0.07,0.00
41.200,171.60,515.8,-142.31,0.07,0.00
41.300,171.85,501.4,-144.44,0.07,0.00
41.400,172.12,486.9,-146.04,0.07,0.00
41.500,172.43,472.2,-147.09,0.07,0.00
41.600,172.80,457.5,-147.60,0.07,0.00
41.700,173.21,442.7,-147.76,0.07,0.00
41.800,173.65,428.0,-147.60,0.07,0.00
41.900,174.10,413.2,-146.89,0.07,0.00
42.000,174.59,398.6,-145.66,0.07,0.00
42.100,175.09,384.1,-143.97,0.07,0.00
42.200,175.62,369.8,-142.13,0.07,0.00
42.300,176.17,355.7,-140.20,0.07,0.00
42.400,176.72,341.8,-138.26,0.07,0.00
42.500,177.28,328.1,-136.42,0.07,0.00
42.600,177.82,314.5,-134.51,0.07,0.00
42.700,178.34,301.2,-132.37,0.07,0.00
42.800,178.84,288.1,-130.02,0.07,0.00
42.900,179.33,275.2,-127.73,0.07,0.00
43.000,179.80,262.6,-125.63,0.07,0.00
43.100,180.26,250.1,-123.66,0.07,0.00
43.200,180.72,237.8,-121.88,0.07,0.00
43.300,181.17,225.7,-120.37,0.07,0.00
43.400,181.61,213.8,-119.13,0.07,0.00
43.500,182.05,201.9,-118.16,0.07,0.00
43.600,182.48,190.1,-117.45,0.07,0.00
43.700,182.91,178.4,-116.94,0.07,0.00
43.800,183.33,166.7,-116.58,0.07,0.00
43.900,183.76,155.1,-116.36,0.07,0.00
44.000,184.17,143.5,-116.13,0.07,0.00
44.100,184.59,131.9,-115.89,0.07,0.00
44.200,185.00,120.3,-115.70,0.07,0.00
44.300,185.41,108.7,-115.62,0.07,0.00
44.400,185.83,97.2,-115.64,0.07,0.00
44.500,186.24,85.6,-115.72,0.07,0.00
44.600,186.65,74.0,-115.55,0.07,0.00
44.700,187.06,62.5,-115.11,0.07,0.00
44.800,187.47,51.0,-114.56,0.07,0.00
44.900,187.86,39.6,-114.04,0.07,0.00
45.000,188.25,28.2,-113.21,0.07,0.00
45.100,188.62,17.0,-111.43,0.07,0.00
45.200,188.97,6.0,-109.05,0.07,0.00
45.300,189.29,-4.8,-106.41,0.07,0.00
45.400,189.60,-15.3,-103.76,0.07,0.00
45.500,189.90,-25.5,-101.29,0.07,0.00
45.600,190.19,-35.5,-99.13,0.07,0.00
45.700,190.47,-45.4,-97.31,0.07,0.00
45.800,190.75,-55.0,-95.82,0.07,0.00
45.900,191.02,-64.5,-94.63,0.07,0.00
46.000,191.29,-73.9,-93.68,0.07,0.00
46.100,191.56,-83.3,-92.96,0.07,0.00
46.200,191.82,-92.5,-92.47,0.07,0.00
46.300,192.08,-101.8,-92.13,0.07,0.00
46.400,192.34,-111.0,-91.89,0.07,0.00
46.500,192.60,-120.1,-91.75,0.07,0.00
46.600,192.86,-129.3,-91.67,0.07,0.00
46.700,193.11,-138.5,-91.47,0.07,0.00
46.800,193.36,-147.6,-91.16,0.07,0.00
46.900,193.61,-156.7,-90.86,0.07,0.00
47.000,193.85,-165.8,-90.60,0.07,0.00
47.100,194.09,-174.8,-90.39,0.07,0.00
47.200,194.34,-183.9,-90.22,0.07,0.00
47.300,194.58,-192.9,-90.10,0.07,0.00
47.400,194.81,-201.9,-89.86,0.07,0.00
47.500,195.05,-210.8,-89.37,0.07,0.00
47.600,195.28,-219.7,-88.61,0.07,0.00
47.700,195.50,-228.5,-87.76,0.07,0.00
47.800,195.72,-237.3,-86.94,0.07,0.00
47.900,195.93,-245.9,-86.23,0.07,0.00
48.000,196.14,-254.5,-85.62,0.07,0.00
48.100,196.35,-263.1,-85.13,0.07,0.00
48.200,196.55,-271.6,-84.73,0.07,0.00
48.300,196.75,-280.0,-84.42,0.07,0.00
48.400,196.95,-288.4,-84.18,0.07,0.00
48.500,197.15,-296.8,-84.00,0.07,0.00
48.600,197.35,-305.2,-83.88,0.07,0.00
48.700,197.54,-313.6,-83.83,0.07,0.00
48.800,197.74,-322.0,-84.11,0.07,0.00
48.900,197.94,-330.5,-84.96,0.07,0.00
49.000,198.14,-339.0,-86.13,0.07,0.00
49.100,198.34,-347.7,-87.30,0.07,0.00
49.200,198.55,-356.5,-88.34,0.07,0.00
49.300,198.76,-365.4,-89.20,0.07,0.00
49.400,198.98,-374.3,-89.93,0.07,0.00
49.500,199.20,-383.4,-90.57,0.09,0.00
49.600,199.45,-392.5,-91.34,0.14,0.00
49.700,199.74,-401.7,-92.23,0.19,0.00
49.800,200.05,-410.9,-93.10,0.24,0.00
49.900,200.40,-420.3,-93.91,0.29,0.00
50.000,200.78,-429.7,-94.64,0.34,0.00
50.100,201.20,-439.2,-95.30,0.39,0.00
50.200,201.63,-448.8,-95.88,0.39,0.00
50.300,202.06,-458.4,-96.43,0.43,0.00
50.400,202.53,-468.1,-96.94,0.47,0.00
50.500,203.02,-477.8,-97.42,0.52,0.00
50.600,203.55,-487.5,-97.56,0.58,0.00
50.700,204.10,-497.3,-97.41,0.63,0.00
50.800,204.67,-507.0,-97.11,0.68,0.00
50.900,205.27,-516.7,-96.76,0.73,0.00
51.000,205.90,-526.4,-96.46,0.78,0.00
51.100,206.55,-536.0,-96.23,0.83,0.00
51.200,207.23,-545.6,-96.08,0.88,0.00
51.300,207.94,-555.2,-96.01,0.92,0.00
51.400,208.67,-564.8,-96.02,0.98,0.00
51.500,209.42,-574.4,-96.10,1.00,0.00
51.600,210.18,-584.1,-96.22,1.00,0.00
51.700,210.93,-593.7,-96.32,1.00,0.00
51.800,211.68,-603.3,-96.12,1.00,0.00
51.900,212.41,-612.9,-95.77,1.00,0.00
52.000,213.15,-622.5,-95.41,1.00,0.00
52.100,213.87,-632.0,-95.10,1.00,0.00
52.200,214.60,-641.5,-94.88,1.00,0.00
52.300,215.32,-651.0,-94.94,1.00,0.00
52.400,216.04,-660.5,-95.23,1.00,0.00
52.500,216.76,-670.0,-95.61,1.00,0.00
52.600,217.48,-679.6,-96.01,1.00,0.00
52.700,218.20,-689.2,-96.25,1.00,0.00
52.800,218.91,-698.9,-96.35,1.00,0.00
52.900,219.62,-708.5,-96.43,1.00,0.00
53.000,220.33,-718.1,-96.51,1.00,0.00
53.100,221.03,-727.8,-96.62,1.00,0.00
53.200,221.73,-737.5,-96.75,1.00,0.00
53.300,222.43,-747.2,-96.90,1.00,0.00
53.400,223.12,-756.9,-97.08,1.00,0.00
53.500,223.82,-766.6,-97.27,1.00,0.00
53.600,224.51,-776.3,-97.50,1.00,0.00
53.700,225.20,-786.1,-97.73,1.00,0.00
53.800,225.88,-795.9,-97.98,1.00,0.00
53.900,226.57,-805.7,-98.22,1.00,0.00
54.000,227.25,-815.5,-98.47,1.00,0.00
54.100,227.93,-825.4,-98.73,1.00,0.00
54.200,228.60,-835.3,-98.96,1.00,0.00
54.300,229.28,-845.2,-99.14,1.00,0.00
54.400,229.95,-855.1,-99.26,1.00,0.00
54.500,230.62,-865.0,-99.29,1.00,0.00
54.600,231.28,-875.0,-99.22,1.00,0.00
54.700,231.94,-884.9,-99.13,1.00,0.00
54.800,232.60,-894.8,-99.03,1.00,0.00
54.900,233.25,-904.7,-98.98,1.00,0.00
55.000,233.90,-914.6,-98.85,1.00,0.00
55.100,234.55,-924.4,-98.42,1.00,0.00
55.200,235.19,-934.3,-97.92,1.00,0.00
55.300,235.83,-944.0,-97.48,1.00,0.00
55.400,236.46,-953.8,-97.01,1.00,0.00
